行く (いく, iku); go
見る (みる, miru); see, look at
多い (おおい, ooi); a lot of, many
家 (いえ, ie); home, household
これ (これ, kore); this, this one
それ (それ, sore); that, that one
私 (わたし, watashi); I
仕事 (しごと, shigoto); work, job
いつ (いつ, itsu); when
する (する, suru); do, make
出る (でる, deru); go out, leave
使う (つかう, tsukau); use, make use of
所 (ところ, tokoro); place
作る (つくる, tsukuru); make, create
思う (おもう, omou); think
持つ (もつ, motsu); have, possess
買う (かう, kau); buy
時間 (じかん, jikan); time, hour
知る (しる, shiru); know
同じ (おなじ, onaji); same, identical
今 (いま, ima); now
新しい (あたらしい, atarashii); new
なる (なる, naru); become
まだ (まだ, mada); not yet, still
あと (あと, ato); after
聞く (きく, kiku); hear, ask
言う (いう, iu); say, tell
少ない (すくない, sukunai); few, little
高い (たかい, takai); high, tall
子供 (こども, kodomo); child
そう (そう, sou); so, that way
もう (もう, mou); already, yet
学生 (がくせい, gakusei); student
熱い (あつい, atsui); hot (to touch)
どうぞ (どうぞ, douzo); please
午後 (ごご, gogo); afternoon, p.m.
長い (ながい, nagai); long
本 (ほん, hon); book, volume
今年 (ことし, kotoshi); this year
よく (よく, yoku); often, well
彼女 (かのじょ, kanojo); she, one’s girlfriend
どう (どう, dou); how, what
言葉 (ことば, kotoba); word, language
顔 (かお, kao); face
終わる (おわる, owaru); finish, end
一つ (ひとつ, hitotsu); one thing
あげる (あげる, ageru); give, offer
こう (こう, kou); like this, such
学校 (がっこう, gakkou); school
くれる (くれる, kureru); be given
始める (はじめる, hajimeru); start something
